LayBuy Settlement Reports,LayBuy Settlement Reports
Connecting to LayBuy SFTP server to fetch new reports. Are you sure you want to proceed?,Connecting to LayBuy SFTP server to fetch new reports. Are you sure you want to proceed?
Fetch Updates,Fetch Updates
ID,ID
Created At,Created At
Order#,Order#
Amount,Amount
Down Payment %,Down Payment %
Months,Months
Downpayment Amount,Downpayment Amount
Payment Amounts,Payment Amounts
First Payment Due,First Payment Due
Last Payment Due,Last Payment Due
First Name,First Name
Last Name,Last Name
Email,Email
Address,Address
Suburb,Suburb
State,State
Country,Country
Postcode,Postcode
Action,Action
VIEW,VIEW
CSV,CSV
XML,XML
A recurring payment solution,A recurring payment solution
Click here if you are not redirected within 10 seconds…,Click here if you are not redirected within 10 seconds…
You will be redirected to the Lay-Buy website in a few seconds.,You will be redirected to the Lay-Buy website in a few seconds.
Payment Recieved.,Payment Recieved.
View Transaction,View Transaction
